run_id,run_timestamp_iso,platform_version,dataset_version,scorecard_mode,comparison_policy,judge_temperature_enforced,judge_seed_enforced,domain,tier,questions_total,exact_match_pass,exact_match_eligible,exact_match_pct,exact_match_not_applicable,exact_match_clarification,expected_answer_off_contract,null_handling_applicable,null_handling_fail,judge_factual,judge_completeness,judge_format,judge_sql,judge_overall,judge_clarifications,judge_errors,platform_errors,baseline_exact_match_pct,delta_pct,regression_flag
combined-20260923T131009Z,2026-09-23T13:10:09.525769+00:00,,,PREVIEW,numeric=value labels=required proximity=120,True,False,crm,ALL,160,88,160,55.0,0,0,0,38,0,3.3438,3.6437,3.5812,3.8062,3.5938,0,0,0,,,
combined-20260923T131009Z,2026-09-23T13:10:09.525769+00:00,,,PREVIEW,numeric=value labels=required proximity=120,True,False,crm,T1,32,26,32,81.25,0,0,0,0,0,4.25,4.3125,3.9688,4.375,4.2266,0,0,0,,,
combined-20260923T131009Z,2026-09-23T13:10:09.525769+00:00,,,PREVIEW,numeric=value labels=required proximity=120,True,False,crm,T2,40,30,40,75.0,0,0,0,0,0,3.975,4.15,3.85,4.375,4.0875,0,0,0,,,
combined-20260923T131009Z,2026-09-23T13:10:09.525769+00:00,,,PREVIEW,numeric=value labels=required proximity=120,True,False,crm,T3,32,32,32,100.0,0,0,0,32,0,5.0,5.0,4.4062,5.0,4.8516,0,0,0,,,
combined-20260923T131009Z,2026-09-23T13:10:09.525769+00:00,,,PREVIEW,numeric=value labels=required proximity=120,True,False,crm,T4,32,0,32,0.0,0,0,0,0,0,1.0938,1.9375,2.8438,2.2188,2.0234,0,0,0,,,
combined-20260923T131009Z,2026-09-23T13:10:09.525769+00:00,,,PREVIEW,numeric=value labels=required proximity=120,True,False,crm,T5,24,0,24,0.0,0,0,0,6,0,1.875,2.375,2.5,2.625,2.3438,0,0,0,,,
